title,Num_ratings
"Shawshank Redemption, The (1994)",97999
Forrest Gump (1994),97040
Pulp Fiction (1994),92406
"Silence of the Lambs, The (1991)",87899
"Matrix, The (1999)",84545
Star Wars: Episode IV - A New Hope (1977),81815
Jurassic Park (1993),76451
Schindler's List (1993),71516
Braveheart (1995),68803
Toy Story (1995),68469
Star Wars: Episode VI - Return of the Jedi (1983),66023
Star Wars: Episode V - The Empire Strikes Back (1980),65822
Fight Club (1999),65678
Terminator 2: Judgment Day (1991),64258
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),63505
"Usual Suspects, The (1995)",62180
"Lord of the Rings: The Fellowship of the Ring, The (2001)",61883
"Godfather, The (1972)",60904
American Beauty (1999),60820
Independence Day (a.k.a. ID4) (1996),58949
Apollo 13 (1995),58665
"Fugitive, The (1993)",58031
Back to the Future (1985),57492
"Lord of the Rings: The Return of the King, The (2003)",57378
"Lord of the Rings: The Two Towers, The (2002)",56696
Seven (a.k.a. Se7en) (1995),55240
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),54846
Fargo (1996),54500
Batman (1989),54448
Saving Private Ryan (1998),54027
"Sixth Sense, The (1999)",52270
Dances with Wolves (1990),51877
Aladdin (1992),51839
True Lies (1994),50864
Gladiator (2000),48666
"Lion King, The (1994)",47305
Shrek (2001),46826
Speed (1994),46475
Ace Ventura: Pet Detective (1994),45608
Mission: Impossible (1996),45064
Titanic (1997),44787
"Dark Knight, The (2008)",44741
Men in Black (a.k.a. MIB) (1997),44287
Memento (2000),43739
"Princess Bride, The (1987)",42878
Good Will Hunting (1997),42769
Beauty and the Beast (1991),42400
"Terminator, The (1984)",42254
One Flew Over the Cuckoo's Nest (1975),42181
Indiana Jones and the Last Crusade (1989),42043
Inception (2010),41475
Die Hard: With a Vengeance (1995),41244
Monty Python and the Holy Grail (1975),40866
Groundhog Day (1993),40836
E.T. the Extra-Terrestrial (1982),40328
Die Hard (1988),40284
Pirates of the Caribbean: The Curse of the Black Pearl (2003),39674
Blade Runner (1982),39441
Alien (1979),39282
"Godfather: Part II, The (1974)",38875
"Mask, The (1994)",38699
Twister (1996),38662
Batman Forever (1995),38647
Pretty Woman (1990),38504
Mrs. Doubtfire (1993),38484
"Rock, The (1996)",37936
Dumb & Dumber (Dumb and Dumber) (1994),37823
Reservoir Dogs (1992),37331
Star Wars: Episode I - The Phantom Menace (1999),37179
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",37167
"Monsters, Inc. (2001)",37112
Finding Nemo (2003),37000
Stargate (1994),36996
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),36504
"Fifth Element, The (1997)",36269
X-Men (2000),36030
"Truman Show, The (1998)",36016
Goodfellas (1990),35934
Babe (1995),35903
Kill Bill: Vol. 1 (2003),35659
Ghostbusters (a.k.a. Ghost Busters) (1984),35343
Eternal Sunshine of the Spotless Mind (2004),35064
Aliens (1986),34572
Clear and Present Danger (1994),34547
American History X (1998),34110
"Beautiful Mind, A (2001)",33936
Ocean's Eleven (2001),33429
Willy Wonka & the Chocolate Factory (1971),33411
Being John Malkovich (1999),33390
Minority Report (2002),33163
"Green Mile, The (1999)",33140
GoldenEye (1995),33086
Taxi Driver (1976),32885
Home Alone (1990),32738
Rain Man (1988),32726
L.A. Confidential (1997),32553
"Clockwork Orange, A (1971)",32436
Ghost (1990),32210
"Shining, The (1980)",32129
Spider-Man (2002),32068
Batman Begins (2005),32027
"Incredibles, The (2004)",31857
Sleepless in Seattle (1993),31775
Trainspotting (1996),31545
2001: A Space Odyssey (1968),31418
Waterworld (1995),31310
Interview with the Vampire: The Vampire Chronicles (1994),31302
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",31224
Casablanca (1942),31095
"Bourne Identity, The (2002)",30822
Four Weddings and a Funeral (1994),30236
Star Trek: Generations (1994),30053
Kill Bill: Vol. 2 (2004),29990
Toy Story 2 (1999),29820
"Big Lebowski, The (1998)",29805
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),29484
Clueless (1995),29422
Ferris Bueller's Day Off (1986),29300
Outbreak (1995),28986
Apocalypse Now (1979),28986
Catch Me If You Can (2002),28798
There's Something About Mary (1998),28747
Austin Powers: The Spy Who Shagged Me (1999),28715
Donnie Darko (2001),28701
Heat (1995),28683
American Pie (1999),28303
WALL·E (2008),28116
"Breakfast Club, The (1985)",27894
Full Metal Jacket (1987),27809
"Firm, The (1993)",27660
Cliffhanger (1993),27627
Dead Poets Society (1989),27452
"Wizard of Oz, The (1939)",27436
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),27434
Shakespeare in Love (1998),27336
Jumanji (1995),27143
V for Vendetta (2006),27101
Cast Away (2000),27083
Life Is Beautiful (La Vita è bella) (1997),26995
Armageddon (1998),26818
"Net, The (1995)",26803
Austin Powers: International Man of Mystery (1997),26784
Clerks (1994),26772
Indiana Jones and the Temple of Doom (1984),26764
Iron Man (2008),26682
Snatch (2000),26552
Jaws (1975),26495
Natural Born Killers (1994),26413
Edward Scissorhands (1990),26408
As Good as It Gets (1997),26316
Crimson Tide (1995),26316
"Departed, The (2006)",26162
Up (2009),26143
"Birdcage, The (1996)",26041
When Harry Met Sally... (1989),26020
While You Were Sleeping (1995),25959
Jerry Maguire (1996),25884
Broken Arrow (1996),25847
Get Shorty (1995),25699
Office Space (1999),25628
Back to the Future Part II (1989),25529
"Bug's Life, A (1998)",25521
Avatar (2009),25447
"O Brother, Where Art Thou? (2000)",25328
Monty Python's Life of Brian (1979),25221
Back to the Future Part III (1990),25117
Stand by Me (1986),25115
"Hunt for Red October, The (1990)",24936
Ace Ventura: When Nature Calls (1995),24913
Leaving Las Vegas (1995),24841
Contact (1997),24808
Who Framed Roger Rabbit? (1988),24678
Total Recall (1990),24573
Sense and Sensibility (1995),24552
Gattaca (1997),24537
"Matrix Reloaded, The (2003)",24505
Psycho (1960),24234
"Nightmare Before Christmas, The (1993)",24134
Dead Man Walking (1995),23955
Beetlejuice (1988),23829
Amadeus (1984),23768
Sin City (2005),23594
Harry Potter and the Prisoner of Azkaban (2004),23449
Top Gun (1986),23448
Requiem for a Dream (2000),23400
Mr. Holland's Opus (1995),23359
Spirited Away (Sen to Chihiro no kamikakushi) (2001),23227
Big (1988),23162
"Blues Brothers, The (1980)",23154
"Prestige, The (2006)",23132
Interstellar (2014),23081
Inglourious Basterds (2009),23050
Harry Potter and the Chamber of Secrets (2002),22971
Almost Famous (2000),22796
"Blair Witch Project, The (1999)",22775
Airplane! (1980),22746
Star Wars: Episode II - Attack of the Clones (2002),22663
Philadelphia (1993),22517
"Nutty Professor, The (1996)",22507
Star Trek: First Contact (1996),22492
Face/Off (1997),22272
Rear Window (1954),22264
Happy Gilmore (1996),22247
Liar Liar (1997),22136
"Fish Called Wanda, A (1988)",22088
Spider-Man 2 (2004),21989
Quiz Show (1994),21807
Meet the Parents (2000),21797
"Mummy, The (1999)",21696
"Bourne Ultimatum, The (2007)",21677
Shrek 2 (2004),21573
City of God (Cidade de Deus) (2002),21558
Lost in Translation (2003),21557
Citizen Kane (1941),21512
Casino Royale (2006),21412
X2: X-Men United (2003),21404
"Bourne Supremacy, The (2004)",21339
Casino (1995),21165
Run Lola Run (Lola rennt) (1998),21153
Mission: Impossible II (2000),21073
"Game, The (1997)",20986
Lethal Weapon (1987),20905
"Lock, Stock & Two Smoking Barrels (1998)",20843
Chicken Run (2000),20834
"Graduate, The (1967)",20769
Snow White and the Seven Dwarfs (1937),20715
Demolition Man (1993),20711
Addams Family Values (1993),20625
Charlie's Angels (2000),20583
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",20509
Django Unchained (2012),20443
"South Park: Bigger, Longer and Uncut (1999)",20341
Erin Brockovich (2000),20316
In the Line of Fire (1993),20306
Dave (1993),20214
Mars Attacks! (1996),20078
Little Miss Sunshine (2006),20038
Slumdog Millionaire (2008),20006
Shaun of the Dead (2004),19923
Traffic (2000),19848
Scream (1996),19844
Ratatouille (2007),19803
300 (2007),19749
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",19731
"Dark Knight Rises, The (2012)",19711
"American President, The (1995)",19669
What's Eating Gilbert Grape (1993),19633
Dogma (1999),19617
North by Northwest (1959),19613
Star Wars: Episode III - Revenge of the Sith (2005),19565
"Abyss, The (1989)",19492
Harry Potter and the Goblet of Fire (2005),19404
Annie Hall (1977),19355
Starship Troopers (1997),19257
Ice Age (2002),19216
"Honey, I Shrunk the Kids (1989)",19163
Juno (2007),19131
High Fidelity (2000),19130
Chinatown (1974),19084
"Matrix Revolutions, The (2003)",19081
Eraser (1996),19078
Grease (1978),19077
Maverick (1994),18954
Platoon (1986),18825
Eyes Wide Shut (1999),18712
"Piano, The (1993)",18677
This Is Spinal Tap (1984),18607
Big Fish (2003),18598
Shutter Island (2010),18594
"Few Good Men, A (1992)",18541
No Country for Old Men (2007),18523
Rocky (1976),18464
Enemy of the State (1998),18459
Die Hard 2 (1990),18415
Gone with the Wind (1939),18333
District 9 (2009),18240
"Pianist, The (2002)",18209
Predator (1987),18186
"Untouchables, The (1987)",18165
Legends of the Fall (1994),18160
"Crow, The (1994)",18091
Star Trek II: The Wrath of Khan (1982),18024
"English Patient, The (1996)",18014
To Kill a Mockingbird (1962),17988
"Santa Clause, The (1994)",17944
12 Angry Men (1957),17931
Vertigo (1958),17926
"Sting, The (1973)",17906
"I, Robot (2004)",17848
Butch Cassidy and the Sundance Kid (1969),17838
Young Frankenstein (1974),17814
It's a Wonderful Life (1946),17770
Ed Wood (1994),17741
Unbreakable (2000),17734
"Avengers, The (2012)",17700
"Lost World: Jurassic Park, The (1997)",17684
"Full Monty, The (1997)",17621
Superman (1978),17550
"Cable Guy, The (1996)",17388
True Romance (1993),17382
Wallace & Gromit: The Wrong Trousers (1993),17337
Raising Arizona (1987),17330
28 Days Later (2002),17251
"Little Mermaid, The (1989)",17219
Desperado (1995),17167
"Sound of Music, The (1965)",17154
Robin Hood: Men in Tights (1993),17142
RoboCop (1987),17133
Judge Dredd (1995),17131
Air Force One (1997),17114
Con Air (1997),17080
Brazil (1985),17032
My Cousin Vinny (1992),17015
Mary Poppins (1964),17011
"Patriot, The (2000)",17008
"Client, The (1994)",16960
Naked Gun 33 1/3: The Final Insult (1994),16947
"Royal Tenenbaums, The (2001)",16906
"Truth About Cats & Dogs, The (1996)",16853
"Mask of Zorro, The (1998)",16837
Dragonheart (1996),16831
Pirates of the Caribbean: Dead Man's Chest (2006),16814
Close Encounters of the Third Kind (1977),16790
Rushmore (1998),16768
"Exorcist, The (1973)",16750
"Hangover, The (2009)",16717
Galaxy Quest (1999),16713
Ransom (1996),16707
Star Trek (2009),16693
Bridget Jones's Diary (2001),16667
"Last Samurai, The (2003)",16660
Unforgiven (1992),16627
"Wedding Singer, The (1998)",16498
Tombstone (1993),16444
Sleepy Hollow (1999),16385
Beverly Hills Cop III (1994),16381
Notting Hill (1999),16364
Pocahontas (1995),16358
The Butterfly Effect (2004),16342
Chasing Amy (1997),16300
Alien³ (a.k.a. Alien 3) (1992),16293
Grosse Pointe Blank (1997),16248
"Talented Mr. Ripley, The (1999)",16191
The Martian (2015),16160
Boogie Nights (1997),16149
Arachnophobia (1990),16042
Congo (1995),15995
Pleasantville (1998),15974
Lethal Weapon 2 (1989),15956
"Boot, Das (Boat, The) (1981)",15936
The Imitation Game (2014),15916
Casper (1995),15876
Pinocchio (1940),15833
From Dusk Till Dawn (1996),15821
"Rocky Horror Picture Show, The (1975)",15818
Bruce Almighty (2003),15764
Scarface (1983),15597
Grumpier Old Men (1995),15585
10 Things I Hate About You (1999),15584
Guardians of the Galaxy (2014),15574
Election (1999),15542
Romancing the Stone (1984),15539
Wayne's World (1992),15529
Last Action Hero (1993),15516
Moulin Rouge (2001),15516
Coneheads (1993),15481
Father of the Bride Part II (1995),15474
Children of Men (2006),15428
Lawrence of Arabia (1962),15415
Hot Shots! Part Deux (1993),15391
Star Trek IV: The Voyage Home (1986),15376
Species (1995),15361
Much Ado About Nothing (1993),15351
"40-Year-Old Virgin, The (2005)",15332
Bad Boys (1995),15321
Sabrina (1995),15301
Sling Blade (1996),15264
The Devil's Advocate (1997),15215
Million Dollar Baby (2004),15191
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),15145
Batman Returns (1992),15120
Planet of the Apes (1968),15102
"Three Musketeers, The (1993)",15092
A.I. Artificial Intelligence (2001),14991
"King's Speech, The (2010)",14976
Tomorrow Never Dies (1997),14906
Sherlock Holmes (2009),14876
Bowling for Columbine (2002),14864
Toy Story 3 (2010),14841
"Christmas Story, A (1983)",14804
"Wolf of Wall Street, The (2013)",14748
Phenomenon (1996),14742
Blade (1998),14719
School of Rock (2003),14719
Fantasia (1940),14715
"Bridge on the River Kwai, The (1957)",14701
You've Got Mail (1998),14625
"Maltese Falcon, The (1941)",14585
Seven Samurai (Shichinin no samurai) (1954),14578
Signs (2002),14572
Field of Dreams (1989),14563
Deep Impact (1998),14511
Executive Decision (1996),14504
"X-Files: Fight the Future, The (1998)",14472
Johnny Mnemonic (1995),14458
Army of Darkness (1993),14444
Three Kings (1999),14396
So I Married an Axe Murderer (1993),14394
Hot Fuzz (2007),14379
I Am Legend (2007),14364
Harry Potter and the Order of the Phoenix (2007),14349
"Thomas Crown Affair, The (1999)",14291
Magnolia (1999),14261
"Italian Job, The (2003)",14255
Black Hawk Down (2001),14223
Crocodile Dundee (1986),14185
Love Actually (2003),14172
Thelma & Louise (1991),14138
Spaceballs (1987),14135
M*A*S*H (a.k.a. MASH) (1970),14121
Harry Potter and the Half-Blood Prince (2009),14115
Dirty Dancing (1987),14100
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),14093
"Social Network, The (2010)",14065
Jackie Brown (1997),14064
"Last of the Mohicans, The (1992)",14060
Harry Potter and the Deathly Hallows: Part 1 (2010),14055
"Others, The (2001)",14017
Goldfinger (1964),13966
City Slickers II: The Legend of Curly's Gold (1994),13948
Chocolat (2000),13946
"Time to Kill, A (1996)",13931
How to Train Your Dragon (2010),13908
Sneakers (1992),13880
Glory (1989),13871
My Big Fat Greek Wedding (2002),13868
Wallace & Gromit: A Close Shave (1995),13866
Princess Mononoke (Mononoke-hime) (1997),13865
"Good Morning, Vietnam (1987)",13784
Splash (1984),13776
Black Swan (2010),13770
Some Like It Hot (1959),13753
First Knight (1995),13746
Alien: Resurrection (1997),13736
Gremlins (1984),13710
Dark City (1998),13705
Miss Congeniality (2000),13682
Gran Torino (2008),13675
The Hunger Games (2012),13667
Inside Out (2015),13659
"Birds, The (1963)",13657
French Kiss (1995),13649
Rob Roy (1995),13600
Wild Wild West (1999),13580
Intouchables (2011),13573
Zombieland (2009),13553
Fatal Attraction (1987),13552
"Crying Game, The (1992)",13547
"Ring, The (2002)",13526
"Goonies, The (1985)",13523
Muriel's Wedding (1994),13487
Legally Blonde (2001),13447
Disclosure (1994),13432
Rumble in the Bronx (Hont faan kui) (1995),13417
"Godfather: Part III, The (1990)",13412
"Hunchback of Notre Dame, The (1996)",13404
"Postman, The (Postino, Il) (1994)",13388
Cool Hand Luke (1967),13339
Mr. & Mrs. Smith (2005),13324
Harry Potter and the Deathly Hallows: Part 2 (2011),13262
Animal House (1978),13218
"River Wild, The (1994)",13206
Basic Instinct (1992),13203
Highlander (1986),13201
Beverly Hills Cop (1984),13132
Deadpool (2016),13115
Mortal Kombat (1995),13098
Heathers (1989),13065
Nine Months (1995),13063
Rush Hour (1998),13050
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",13042
Tommy Boy (1995),13032
Mulholland Drive (2001),13029
"Perfect Storm, The (2000)",13029
Superbad (2007),12999
Mad Max: Fury Road (2015),12983
Antz (1998),12974
American Psycho (2000),12952
Primal Fear (1996),12930
Space Jam (1996),12913
Charlie and the Chocolate Factory (2005),12909
Blood Diamond (2006),12907
Gone Girl (2014),12896
Gone in 60 Seconds (2000),12888
What Women Want (2000),12862
Witness (1985),12833
"Deer Hunter, The (1978)",12803
Singin' in the Rain (1952),12794
Breakfast at Tiffany's (1961),12786
Blazing Saddles (1974),12778
